node_id,zone_id,x_coord,y_coord,meso_link_id,lane_no,is_boundary
1363,,-111.9262478,33.4253783,4,1,
1364,,-111.9262477,33.4254419,4,1,
1365,,-111.9262475,33.4255054,4,1,
1366,,-111.9262474,33.4255689,4,1,
1367,,-111.9262473,33.4256324,4,1,
1368,,-111.9262472,33.4256959,4,1,
1369,,-111.9262471,33.4257594,4,1,
1370,,-111.926247,33.4258229,4,1,
1371,,-111.9262469,33.4258864,4,1,
1372,,-111.9262468,33.42595,4,1,
1373,,-111.9262467,33.4260135,4,1,
1374,,-111.9262466,33.426077,4,1,
1375,,-111.9262465,33.4261405,4,1,
1376,,-111.9262464,33.426204,4,1,
1377,,-111.9262463,33.4262675,4,1,
1378,,-111.9262462,33.426331,4,1,
1379,,-111.9262461,33.4263945,4,1,
1380,,-111.926246,33.4264581,4,1,
1381,,-111.9262458,33.4265216,4,1,
1382,,-111.9262457,33.4265851,4,1,
1383,,-111.9262456,33.4266486,4,1,
1384,,-111.9262455,33.4267121,4,1,
1385,,-111.9262454,33.4267756,4,1,
1386,,-111.9262453,33.4268391,4,1,
1387,,-111.9262452,33.4269026,4,1,
1388,,-111.9262451,33.4269662,4,1,
1389,,-111.926245,33.4270297,4,1,
1390,,-111.9262449,33.4270932,4,1,
1391,,-111.9262448,33.4271567,4,1,
1392,,-111.9262447,33.4272202,4,1,
1393,3,-111.9262446,33.4272837,4,1,
1394,,-111.9262155,33.4221392,4,2,
1395,,-111.9262154,33.4222027,4,2,
1396,,-111.9262153,33.4222662,4,2,
1397,,-111.9262152,33.4223297,4,2,
1398,,-111.9262151,33.4223932,4,2,
1399,,-111.926215,33.4224567,4,2,
1400,,-111.9262149,33.4225202,4,2,
1401,,-111.9262148,33.4225838,4,2,
1402,,-111.9262147,33.4226473,4,2,
1403,,-111.9262146,33.4227108,4,2,
1404,,-111.9262145,33.4227743,4,2,
1405,,-111.9262144,33.4228378,4,2,
1406,,-111.9262143,33.4229013,4,2,
1407,,-111.9262142,33.4229648,4,2,
1408,,-111.9262141,33.4230283,4,2,
1409,,-111.9262139,33.4230919,4,2,
1410,,-111.9262138,33.4231554,4,2,
1411,,-111.9262137,33.4232189,4,2,
1412,,-111.9262136,33.4232824,4,2,
1413,,-111.9262135,33.4233459,4,2,
1414,,-111.9262134,33.4234094,4,2,
1415,,-111.9262133,33.4234729,4,2,
1416,,-111.9262132,33.4235364,4,2,
1417,,-111.9262131,33.4236,4,2,
1418,,-111.926213,33.4236635,4,2,
1419,,-111.9262129,33.423727,4,2,
1420,,-111.9262128,33.4237905,4,2,
1421,,-111.9262127,33.423854,4,2,
1422,,-111.9262126,33.4239175,4,2,
